주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,제품 코드,제품 대분류,제품 중분류,제품명,관리자,반품?,매출,수량,할인율,수익
IN-2025-63178,6/24/2025,6/30/2025,표준 배송,SO-20335,강희수,소비자,제주시,제주특별자치도,대한민국,OFF-AP-10002882,사무용품,가전,"KitchenAid Coffee Grinder, Silver",곽승예,False,123495.48,2,0.15,37754.28
ID-2025-39084,6/13/2025,6/17/2025,표준 배송,PO-18865,최유미,소비자,울주군,울산광역시,대한민국,TEC-CO-10000666,사무기기,복사기,"Hewlett Copy Machine, Laser",원유선,True,698298.12,4,0.35,-64498.68
ID-2025-44908,2/27/2025,3/4/2025,표준 배송,AI-10855,허동춘,소비자,완도군,전라남도,대한민국,OFF-SU-10004848,사무용품,일반 사무용품,"Kleencut Shears, High Speed",곽승예,False,126419.31,5,0.47,-85944.69
ID-2025-44908,2/27/2025,3/4/2025,표준 배송,AI-10855,허동춘,소비자,완도군,전라남도,대한민국,OFF-PA-10003332,사무용품,종이,"Xerox Cards & Envelopes, Recycled",곽승예,False,48524.256,2,0.47,-15613.344
ID-2025-62926,9/18/2025,9/19/2025,특급 배송,MC-18100,정희성,소비자,서초구,서울특별시,대한민국,TEC-MA-10003553,사무기기,전산기기,"Epson Printer, Red",전소현,False,397448.1,2,0.25,-84807.9
ID-2025-64914,3/27/2025,3/28/2025,특급 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,FUR-TA-10000147,가구,탁자,"Lesro Coffee Table, Rectangular",전소현,True,1069157.88,6,0.3,-290216.52
IN-2025-12575,11/24/2025,11/29/2025,표준 배송,TG-21310,남주석,소비자,여주시,경기도,대한민국,OFF-AR-10000058,사무용품,필기구,"Stanley Canvas, Water Color",전소현,False,96665.4,2,0.1,25734.6
IN-2025-29697,10/6/2025,10/6/2025,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,OFF-AR-10004486,사무용품,필기구,"Sanford Canvas, Blue",전소현,False,139132.08,3,0.1,24657.48
IN-2025-29697,10/6/2025,10/6/2025,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,OFF-PA-10000694,사무용품,종이,"Green Bar Message Books, Premium",전소현,False,65517.66,3,0.1,15945.66
IN-2025-29697,10/6/2025,10/6/2025,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,TEC-CO-10003702,사무기기,복사기,"Brother Ink, Digital",전소현,False,809345.52,6,0.1,350712.72
ID-2025-76618,8/12/2025,8/14/2025,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,OFF-ST-10004830,사무용품,수납용품,"Eldon Lockers, Blue",신한결,False,181681.38,1,0.1,-16178.22
ID-2025-76618,8/12/2025,8/14/2025,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,FUR-CH-10003836,가구,의자,"Harbour Creations Rocking Chair, Red",신한결,False,405085.86,3,0.1,71943.66
ID-2025-76618,8/12/2025,8/14/2025,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,OFF-BI-10000340,사무용품,바인더,"Avery Binding Machine, Clear",신한결,False,620751.6,14,0.1,0
ID-2025-76618,8/12/2025,8/14/2025,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,FUR-FU-10004158,가구,가구류,"Deflect-O Frame, Black",신한결,False,101016.72,1,0.1,30300.12
IN-2025-71235,9/17/2025,9/17/2025,당일 배송,NC-18625,유원경,기업 고객,서대문구,서울특별시,대한민국,FUR-BO-10000112,가구,책장,"Dania Corner Shelving, Pine",전소현,False,339898.68,3,0.1,67895.28
IN-2025-71235,9/17/2025,9/17/2025,당일 배송,NC-18625,유원경,기업 고객,서대문구,서울특별시,대한민국,OFF-PA-10000453,사무용품,종이,"Xerox Cards & Envelopes, 8.5 x 11",전소현,False,90165.96,2,0.1,24987.96
ID-2025-17265,3/1/2025,3/5/2025,표준 배송,KB-16240,홍희창,기업 고객,노원구,서울특별시,대한민국,OFF-EN-10001491,사무용품,봉투,"Jiffy Interoffice Envelope, Set of 50",전소현,False,284212.8,6,0,56732.4
IN-2025-32091,7/11/2025,7/15/2025,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,FUR-FU-10000666,가구,가구류,"Rubbermaid Frame, Black",허진성,True,224175.6,2,0,60526.8
IN-2025-32091,7/11/2025,7/15/2025,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,OFF-ST-10001824,사무용품,수납용품,"Rogers Box, Single Width",허진성,True,73440,3,0,4406.4
IN-2025-29753,11/13/2025,11/19/2025,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,OFF-LA-10003778,사무용품,라벨,"Novimex File Folder Labels, Alphabetical",전소현,False,32925.6,4,0,8445.6
IN-2025-29753,11/13/2025,11/19/2025,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,TEC-AC-10001278,사무기기,악세사리,"Enermax Flash Drive, USB",전소현,False,127693.8,3,0,30569.4
IN-2025-29753,11/13/2025,11/19/2025,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,OFF-ST-10000704,사무용품,수납용품,"Rogers File Cart, Blue",전소현,False,573933.6,4,0,212241.6
IN-2025-55513,12/9/2025,12/13/2025,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,OFF-ST-10003810,사무용품,수납용품,"Tenex Box, Single Width",원유선,False,118024.2,7,0,41126.4
IN-2025-55513,12/9/2025,12/13/2025,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,OFF-EN-10000114,사무용품,봉투,"Kraft Clasp Envelope, Security-Tint",원유선,False,46512,4,0,856.8
IN-2025-76674,9/14/2025,9/20/2025,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,OFF-AR-10001405,사무용품,필기구,"Binney & Smith Highlighters, Fluorescent",원유선,False,54621,3,0,7068.6
IN-2025-76674,9/14/2025,9/20/2025,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,FUR-CH-10002188,가구,의자,"SAFCO Steel Folding Chair, Set of Two",원유선,False,358876.8,4,0,150674.4
IN-2025-47463,2/28/2025,3/5/2025,표준 배송,ZC-21910,이유영,소비자,부산진구,부산광역시,대한민국,OFF-BI-10002424,사무용품,바인더,"Avery Binder, Economy",원유선,False,15789.6,2,0.4,244.8
ID-2025-17657,6/25/2025,6/30/2025,표준 배송,FC-14245,유옥자,홈 오피스,옥천군,충청북도,대한민국,OFF-PA-10004260,사무용품,종이,"Xerox Memo Slips, Recycled",신한결,False,29062.656,4,0.47,-5576.544
IN-2025-60476,11/3/2025,11/7/2025,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-FA-10001187,사무용품,파스너,"Stockwell Paper Clips, Bulk Pack",신한결,True,27784.8,2,0,9424.8
IN-2025-60476,11/3/2025,11/7/2025,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-FA-10001045,사무용품,파스너,"Stockwell Staples, 12 Pack",신한결,True,50184,5,0,3978
IN-2025-60476,11/3/2025,11/7/2025,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-EN-10003000,사무용품,봉투,"Cameo Mailers, Recycled",신한결,True,188496,5,0,75276
IN-2025-60476,11/3/2025,11/7/2025,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-BI-10001904,사무용품,바인더,"Cardinal Binder Covers, Durable",신한결,True,27540,2,0,13464
IN-2025-60476,11/3/2025,11/7/2025,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-AR-10002727,사무용품,필기구,"Stanley Pencil Sharpener, Fluorescent",신한결,True,50551.2,2,0,14137.2
IN-2025-57410,10/17/2025,10/23/2025,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,OFF-BI-10004334,사무용품,바인더,"Avery Hole Reinforcements, Durable",전소현,False,12056.4,2,0,2019.6
IN-2025-57410,10/17/2025,10/23/2025,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,OFF-ST-10001026,사무용품,수납용품,"Fellowes Trays, Single Width",전소현,False,292842,5,0,131733
IN-2025-57410,10/17/2025,10/23/2025,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,OFF-EN-10003838,사무용품,봉투,"Cameo Peel and Seal, with clear poly window",전소현,False,25030.8,1,0,7252.2
IN-2025-13597,11/3/2025,11/7/2025,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,OFF-LA-10002088,사무용품,라벨,"Novimex Round Labels, Laser Printer Compatible",신한결,False,6395.4,1,0,2998.8
IN-2025-13597,11/3/2025,11/7/2025,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,FUR-TA-10002256,가구,탁자,"Hon Wood Table, Fully Assembled",신한결,False,2717280,5,0,923814
IN-2025-25161,7/14/2025,7/20/2025,표준 배송,MS-17710,한정호,소비자,음성군,충청북도,대한민국,OFF-SU-10001686,사무용품,일반 사무용품,"Kleencut Trimmer, Easy Grip",신한결,False,118559.7,3,0.1,10511.1
IN-2025-16887,5/5/2025,5/7/2025,빠른 배송,CC-12475,노재성,소비자,수성구,대구광역시,대한민국,TEC-CO-10002040,사무기기,복사기,"Brother Fax Machine, Digital",원유선,False,1298174.4,4,0,545169.6
IN-2025-53427,5/9/2025,5/15/2025,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,OFF-BI-10002907,사무용품,바인더,"Wilson Jones 3-Hole Punch, Economy",원유선,False,57099.6,2,0,7956
IN-2025-53427,5/9/2025,5/15/2025,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,OFF-AP-10002371,사무용품,가전,"KitchenAid Blender, Silver",원유선,False,100827,1,0,43329.6
IN-2025-53427,5/9/2025,5/15/2025,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,FUR-TA-10004711,가구,탁자,"Lesro Conference Table, Adjustable Height",원유선,False,4384827,5,0,306918
IN-2025-53427,5/9/2025,5/15/2025,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,OFF-PA-10004124,사무용품,종이,"SanDisk Message Books, 8.5 x 11",원유선,False,114076.8,4,0,3304.8
IN-2025-63591,12/13/2025,12/18/2025,표준 배송,ZD-21925,강현석,소비자,고양시,경기도,대한민국,FUR-TA-10003576,가구,탁자,"Hon Coffee Table, Adjustable Height",전소현,False,454232.52,2,0.3,64878.12
IN-2025-76058,3/13/2025,3/15/2025,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-PA-10000382,사무용품,종이,"SanDisk Computer Printout Paper, Multicolor",전소현,False,63648,2,0,26071.2
IN-2025-76058,3/13/2025,3/15/2025,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-AR-10001773,사무용품,필기구,"Sanford Markers, Water Color",전소현,False,53917.2,2,0,11811.6
