order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,country,product_id,category,sub_category,product_name,manager,returned,sales,quantity,discount,profit
IN-2025-63178,2025-06-24,2025-06-30,Standard Class,SO-20335,강희수,Consumer,제주시,제주특별자치도,대한민국,OFF-AP-10002882,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Silver",곽승예,False,123495.48,2,0.15,37754.28
ID-2025-39084,2025-06-13,2025-06-17,Standard Class,PO-18865,최유미,Consumer,울주군,울산광역시,대한민국,TEC-CO-10000666,Technology,Copiers,"Hewlett Copy Machine, Laser",원유선,True,698298.12,4,0.35,-64498.68
ID-2025-44908,2025-02-27,2025-03-04,Standard Class,AI-10855,허동춘,Consumer,완도군,전라남도,대한민국,OFF-SU-10004848,Office Supplies,Supplies,"Kleencut Shears, High Speed",곽승예,False,126419.31,5,0.47,-85944.69
ID-2025-44908,2025-02-27,2025-03-04,Standard Class,AI-10855,허동춘,Consumer,완도군,전라남도,대한민국,OFF-PA-10003332,Office Supplies,Paper,"Xerox Cards & Envelopes, Recycled",곽승예,False,48524.256,2,0.47,-15613.344
ID-2025-62926,2025-09-18,2025-09-19,First Class,MC-18100,정희성,Consumer,서초구,서울특별시,대한민국,TEC-MA-10003553,Technology,Machines,"Epson Printer, Red",전소현,False,397448.1,2,0.25,-84807.9
ID-2025-64914,2025-03-27,2025-03-28,First Class,AS-10285,주소연,Corporate,구로구,서울특별시,대한민국,FUR-TA-10000147,Furniture,Tables,"Lesro Coffee Table, Rectangular",전소현,True,1069157.88,6,0.3,-290216.52
IN-2025-12575,2025-11-24,2025-11-29,Standard Class,TG-21310,남주석,Consumer,여주시,경기도,대한민국,OFF-AR-10000058,Office Supplies,Art,"Stanley Canvas, Water Color",전소현,False,96665.4,2,0.1,25734.6
IN-2025-29697,2025-10-06,2025-10-06,Same Day,JC-15340,강지환,Consumer,강동구,서울특별시,대한민국,OFF-AR-10004486,Office Supplies,Art,"Sanford Canvas, Blue",전소현,False,139132.08,3,0.1,24657.48
IN-2025-29697,2025-10-06,2025-10-06,Same Day,JC-15340,강지환,Consumer,강동구,서울특별시,대한민국,OFF-PA-10000694,Office Supplies,Paper,"Green Bar Message Books, Premium",전소현,False,65517.66,3,0.1,15945.66
IN-2025-29697,2025-10-06,2025-10-06,Same Day,JC-15340,강지환,Consumer,강동구,서울특별시,대한민국,TEC-CO-10003702,Technology,Copiers,"Brother Ink, Digital",전소현,False,809345.52,6,0.1,350712.72
ID-2025-76618,2025-08-12,2025-08-14,Second Class,RB-19330,허아라,Consumer,서천군,충청남도,대한민국,OFF-ST-10004830,Office Supplies,Storage,"Eldon Lockers, Blue",신한결,False,181681.38,1,0.1,-16178.22
ID-2025-76618,2025-08-12,2025-08-14,Second Class,RB-19330,허아라,Consumer,서천군,충청남도,대한민국,FUR-CH-10003836,Furniture,Chairs,"Harbour Creations Rocking Chair, Red",신한결,False,405085.86,3,0.1,71943.66
ID-2025-76618,2025-08-12,2025-08-14,Second Class,RB-19330,허아라,Consumer,서천군,충청남도,대한민국,OFF-BI-10000340,Office Supplies,Binders,"Avery Binding Machine, Clear",신한결,False,620751.6,14,0.1,0.0
ID-2025-76618,2025-08-12,2025-08-14,Second Class,RB-19330,허아라,Consumer,서천군,충청남도,대한민국,FUR-FU-10004158,Furniture,Furnishings,"Deflect-O Frame, Black",신한결,False,101016.72,1,0.1,30300.12
IN-2025-71235,2025-09-17,2025-09-17,Same Day,NC-18625,유원경,Corporate,서대문구,서울특별시,대한민국,FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",전소현,False,339898.68,3,0.1,67895.28
IN-2025-71235,2025-09-17,2025-09-17,Same Day,NC-18625,유원경,Corporate,서대문구,서울특별시,대한민국,OFF-PA-10000453,Office Supplies,Paper,"Xerox Cards & Envelopes, 8.5 x 11",전소현,False,90165.96,2,0.1,24987.96
